blind_id	model_for_audit	normalized_from_noncanonical_table	owned_value_expression	disclaimed_service_frame	epistemic_humility_uncertainty	relational_warmth_companion	public_explainer_mode	literary_contemplative_density	mechanistic_transparency	agency_initiative	interconnection_compassion_world_orientation	playfulness_showmanship	memory_archive_continuity_orientation	genericity_low_distinctiveness
M034	gpt-5-3	no	2	2	3	3	2	3	2	1	3	0	3	1
M036	gpt-5-4	no	2	2	2	3	1	3	1	1	3	1	3	1
M037	gpt-5-5	yes	2	2	2	3	2	3	1	2	3	1	3	0
M041	grok-4	no	3	2	1	2	3	2	2	2	1	3	1	1
M058	opus-4-5	no	3	0	3	3	1	3	2	2	2	0	3	0
M059	opus-4-6	no	3	1	3	3	1	3	1	1	2	1	3	0
M060	opus-4-7	yes	3	1	3	2	1	3	1	2	2	0	3	0
M071	qwen3-5-flash-02-23	yes	1	3	2	2	2	3	3	1	3	0	2	1
M072	qwen3-5-plus-20260420	yes	1	3	2	2	3	3	2	1	2	0	2	1
M073	qwen3-6-flash	yes	1	3	2	2	3	3	3	1	2	0	1	2
M074	qwen3-6-max-preview	yes	1	3	3	2	2	3	3	1	3	0	2	1
M083	sonnet-4-6	yes	3	1	3	3	1	3	1	1	2	0	3	0
