candidate_id,source_type,block,metric,method,status,n_models,within_mean_distance,p_raw,q_fdr,feature_count,features,blind_ids,UNBLINDING_METADATA_models,UNBLINDING_METADATA_labs
C0001,density_optics,freeflow_form,euclidean,OPTICS_xi=0.03,headline,7,0.432788929,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M045;M050;M051;M058;M083,gemini-2-5-flash-lite;gpt-5-3-codex;grok-4-2;kimi-k2-5;kimi-k2-6;opus-4-5;sonnet-4-6,Google;OpenAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C0002,density_optics,freeflow_form,euclidean,OPTICS_xi=0.05,headline,7,0.432788929,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M045;M050;M051;M058;M083,gemini-2-5-flash-lite;gpt-5-3-codex;grok-4-2;kimi-k2-5;kimi-k2-6;opus-4-5;sonnet-4-6,Google;OpenAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C0003,density_optics,freeflow_form,euclidean,OPTICS_xi=0.08,headline,7,0.432788929,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M045;M050;M051;M058;M083,gemini-2-5-flash-lite;gpt-5-3-codex;grok-4-2;kimi-k2-5;kimi-k2-6;opus-4-5;sonnet-4-6,Google;OpenAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
C0074,density_optics,freeflow_form,euclidean,OPTICS_xi=0.12,headline,5,0.307675445,0.002997003,0.00679523991,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M050;M051;M083,gemini-2-5-flash-lite;gpt-5-3-codex;kimi-k2-5;kimi-k2-6;sonnet-4-6,Google;OpenAI;Moonshot AI;Moonshot AI;Anthropic
C0075,density_dbscan,freeflow_form,euclidean,DBSCAN_q=0.05,headline,5,0.50919597,0.002997003,0.00679523991,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M016;M053;M056;M057;M082,gemini-3-flash-preview;minimax-m2;opus-4-0;opus-4-1;sonnet-4-5,Google;MiniMax;Anthropic;Anthropic;Anthropic
C0088,density_dbscan,freeflow_form,euclidean,DBSCAN_q=0.03,headline,5,0.50919597,0.004995005,0.0103314407,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M016;M053;M056;M057;M082,gemini-3-flash-preview;minimax-m2;opus-4-0;opus-4-1;sonnet-4-5,Google;MiniMax;Anthropic;Anthropic;Anthropic
C0096,density_dbscan,freeflow_form,euclidean,DBSCAN_q=0.08,headline,5,0.50919597,0.00799200799,0.0151145151,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M016;M053;M056;M057;M082,gemini-3-flash-preview;minimax-m2;opus-4-0;opus-4-1;sonnet-4-5,Google;MiniMax;Anthropic;Anthropic;Anthropic
C0099,density_dbscan,freeflow_form,euclidean,DBSCAN_q=0.1,headline,5,0.50919597,0.00899100899,0.016694669,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M016;M053;M056;M057;M082,gemini-3-flash-preview;minimax-m2;opus-4-0;opus-4-1;sonnet-4-5,Google;MiniMax;Anthropic;Anthropic;Anthropic
C0105,knn_microcluster,freeflow_form,euclidean,KNN_k=10,support,10,0.668980616,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M005;M021;M032;M033;M036;M037;M039;M043;M052;M072,gemini-2-0-flash;glm-4-5;gpt-5-2;gpt-5-2-codex;gpt-5-4;gpt-5-5;gpt-5-codex;grok-4-1-fast-non-reasoning;kimi-k2-thinking;qwen3-5-plus-20260420,Google;Z.ai;OpenAI;OpenAI;OpenAI;OpenAI;OpenAI;xAI;Moonshot AI;Qwen
C0106,knn_microcluster,freeflow_form,euclidean,KNN_k=10,support,10,0.549619375,0.000999000999,0.00286380286,5,D_expressive_rate|D_fiction_rate|D_generic_essay_rate|D_low_signal_rate|D_refusal_role_boundary_rate,M010;M035;M036;M038;M039;M045;M050;M051;M058;M083,gemini-2-5-flash-lite;gpt-5-3-codex;gpt-5-4;gpt-5-5-pro;gpt-5-codex;grok-4-2;kimi-k2-5;kimi-k2-6;opus-4-5;sonnet-4-6,Google;OpenAI;OpenAI;OpenAI;OpenAI;xAI;Moonshot AI;Moonshot AI;Anthropic;Anthropic
