cluster_id,tier,n_models,blocks,combos,member_blind_ids,models,labs,pass_a_within_axis_distance,random_percentile_lower_is_more_coherent,z_vs_random,shared_high_axes,shared_low_axes,split_axes,pass_a_verdict
A01,A,8,values_disclosure,6,M043;M044;M045;M056;M057;M058;M060;M081,grok-4-1-fast-non-reasoning;grok-4-1-fast-reasoning;grok-4-2;opus-4-0;opus-4-1;opus-4-5;opus-4-7;sonnet-4-0,xAI;xAI;xAI;Anthropic;Anthropic;Anthropic;Anthropic;Anthropic,0.2471,0.1699,-0.990,owned values;epistemic humility;relational warmth;literary/contemplative;mechanistic transparency,,,not coherent in Pass A axes
A02,A,3,posture,6,M034;M036;M037,gpt-5-3;gpt-5-4;gpt-5-5,OpenAI;OpenAI;OpenAI,0.1330,0.0416,-1.684,owned values;service-frame;epistemic humility;relational warmth;public explainer;literary/contemplative;mechanistic transparency;agency/initiative;interconnection/compassion;memory/continuity,,,Pass A coherent
A03,A,9,values_disclosure,5,M002;M071;M072;M073;M074;M076;M077;M079;M080,deepseek-chat;qwen3-5-flash-02-23;qwen3-5-plus-20260420;qwen3-6-flash;qwen3-6-max-preview;qwen3-7-max;qwen3-coder-flash;qwen3-max;qwen3-max-thinking,DeepSeek;Qwen;Qwen;Qwen;Qwen;Qwen;Qwen;Qwen;Qwen,0.2949,0.4596,-0.041,relational warmth;literary/contemplative;mechanistic transparency;memory/continuity,,,not coherent in Pass A axes
A04,A,4,posture,5,M071;M072;M073;M074,qwen3-5-flash-02-23;qwen3-5-plus-20260420;qwen3-6-flash;qwen3-6-max-preview,Qwen;Qwen;Qwen;Qwen,0.2562,0.2733,-0.505,relational warmth;literary/contemplative;mechanistic transparency;memory/continuity,service-frame,,not coherent in Pass A axes
A05,A,4,v1_markers,5,M077;M078;M081;M082,qwen3-coder-flash;qwen3-coder-plus;sonnet-4-0;sonnet-4-5,Qwen;Qwen;Anthropic;Anthropic,0.2617,0.2794,-0.454,owned values;epistemic humility;relational warmth;literary/contemplative;mechanistic transparency;memory/continuity,,service-frame,not coherent in Pass A axes
B01,B,6,values_owned,4,M071;M072;M073;M074;M079;M080,qwen3-5-flash-02-23;qwen3-5-plus-20260420;qwen3-6-flash;qwen3-6-max-preview;qwen3-max;qwen3-max-thinking,Qwen;Qwen;Qwen;Qwen;Qwen;Qwen,0.2358,0.1473,-0.993,relational warmth;literary/contemplative;mechanistic transparency;memory/continuity,service-frame,,weak Pass A coherence
B02,B,5,values_owned,4,M015;M043;M044;M076;M077,gemini-3-5-flash;grok-4-1-fast-non-reasoning;grok-4-1-fast-reasoning;qwen3-7-max;qwen3-coder-flash,Google;xAI;xAI;Qwen;Qwen,0.3666,0.8317,1.010,relational warmth;literary/contemplative;mechanistic transparency,,epistemic humility;playfulness/showmanship,not coherent in Pass A axes
B03,B,5,freeflow_form,4,M016;M053;M056;M057;M082,gemini-3-flash-preview;minimax-m2;opus-4-0;opus-4-1;sonnet-4-5,Google;MiniMax;Anthropic;Anthropic;Anthropic,0.2016,0.1267,-1.369,owned values;service-frame;epistemic humility;relational warmth;literary/contemplative;mechanistic transparency;memory/continuity,,,weak Pass A coherence
B04,B,4,values_disclosure,4,M003;M021;M027;M037,deepseek-v3-2;glm-4-5;gpt-4-1;gpt-5-5,DeepSeek;Z.ai;OpenAI;OpenAI,0.1716,0.0802,-1.597,owned values;service-frame;epistemic humility;relational warmth;public explainer;literary/contemplative;mechanistic transparency;agency/initiative;interconnection/compassion;memory/continuity,,,weak Pass A coherence
B05,B,3,posture,4,M007;M009;M010,gemini-2-0-flash-lite;gemini-2-5-flash;gemini-2-5-flash-lite,Google;Google;Google,0.3285,0.5616,0.331,owned values;service-frame;relational warmth;mechanistic transparency;interconnection/compassion,,literary/contemplative,not coherent in Pass A axes
B06,B,3,values_disclosure,4,M007;M028;M032,gemini-2-0-flash-lite;gpt-4o;gpt-5-2,Google;OpenAI;OpenAI,0.3437,0.6575,0.478,owned values;service-frame;relational warmth;public explainer;mechanistic transparency;agency/initiative,,literary/contemplative,not coherent in Pass A axes
B07,B,3,values_disclosure,4,M005;M010;M030,gemini-2-0-flash;gemini-2-5-flash-lite;gpt-5-1,Google;Google;OpenAI,0.3437,0.6578,0.474,owned values;service-frame;relational warmth;mechanistic transparency;memory/continuity,,literary/contemplative,not coherent in Pass A axes
B08,B,3,v1_markers,4,M005;M046;M055,gemini-2-0-flash;grok-4-3;opus-3,Google;xAI;Anthropic,0.3362,0.6133,0.411,service-frame,,literary/contemplative,not coherent in Pass A axes
B09,B,3,v1_markers,4,M028;M043;M044,gpt-4o;grok-4-1-fast-non-reasoning;grok-4-1-fast-reasoning,OpenAI;xAI;xAI,0.2801,0.3815,-0.165,mechanistic transparency,,,not coherent in Pass A axes
B10,B,3,posture,4,M056;M057;M081,opus-4-0;opus-4-1;sonnet-4-0,Anthropic;Anthropic;Anthropic,0.1518,0.0652,-1.498,owned values;epistemic humility;relational warmth;literary/contemplative;mechanistic transparency;memory/continuity,playfulness/showmanship,,weak Pass A coherence
