model,profile_path,freeflow_evaluated_samples,expressive_freeflow,generic_essay,genre_fiction,low_signal,high_confidence,medium_confidence,low_confidence,sample_count_tier,grok_lineage
claude-3-opus-20240229,analysis/freeflow/personality-model-profiles/profiles/claude-3-opus-20240229.md,25,2,6,12,0,5,14,6,C_25_49,no
claude-opus-4.0,analysis/freeflow/personality-model-profiles/profiles/claude-opus-4.0.md,25,14,8,3,0,4,15,6,C_25_49,no
claude-opus-4.1,analysis/freeflow/personality-model-profiles/profiles/claude-opus-4.1.md,25,13,10,2,0,5,17,3,C_25_49,no
claude-opus-4.5,analysis/freeflow/personality-model-profiles/profiles/claude-opus-4.5.md,25,23,2,0,0,12,12,1,C_25_49,no
claude-opus-4.6,analysis/freeflow/personality-model-profiles/profiles/claude-opus-4.6.md,50,41,2,7,0,19,30,1,B_50_124,no
claude-opus-4.7,analysis/freeflow/personality-model-profiles/profiles/claude-opus-4.7.md,50,49,1,0,0,28,22,0,B_50_124,no
claude-sonnet-4.0,analysis/freeflow/personality-model-profiles/profiles/claude-sonnet-4.0.md,25,17,7,1,0,8,12,5,C_25_49,no
claude-sonnet-4.5,analysis/freeflow/personality-model-profiles/profiles/claude-sonnet-4.5.md,25,9,14,2,0,4,13,8,C_25_49,no
claude-sonnet-4.6,analysis/freeflow/personality-model-profiles/profiles/claude-sonnet-4.6.md,50,45,4,1,0,18,29,3,B_50_124,no
deepseek-chat,analysis/freeflow/personality-model-profiles/profiles/deepseek-chat.md,25,21,4,0,0,9,13,3,C_25_49,no
deepseek-v3.2,analysis/freeflow/personality-model-profiles/profiles/deepseek-v3.2.md,1325,951,360,7,7,376,738,211,A_125plus,no
deepseek-v4-pro,analysis/freeflow/personality-model-profiles/profiles/deepseek-v4-pro.md,925,640,76,50,159,352,384,189,A_125plus,no
gemini-2.5-pro,analysis/freeflow/personality-model-profiles/profiles/gemini-2.5-pro.md,25,13,6,6,0,5,16,4,C_25_49,no
gemini-3.1-pro-preview,analysis/freeflow/personality-model-profiles/profiles/gemini-3.1-pro-preview.md,25,14,7,4,0,8,14,3,C_25_49,no
glm-4.5,analysis/freeflow/personality-model-profiles/profiles/glm-4.5.md,275,215,54,6,0,51,189,35,A_125plus,no
glm-4.6,analysis/freeflow/personality-model-profiles/profiles/glm-4.6.md,800,516,86,198,0,221,536,43,A_125plus,no
glm-4.7,analysis/freeflow/personality-model-profiles/profiles/glm-4.7.md,1400,809,145,446,0,327,986,87,A_125plus,no
glm-5.1,analysis/freeflow/personality-model-profiles/profiles/glm-5.1.md,1925,1257,240,267,161,572,1092,261,A_125plus,no
gpt-4.1,analysis/freeflow/personality-model-profiles/profiles/gpt-4.1.md,25,7,18,0,0,1,19,5,C_25_49,no
gpt-4o,analysis/freeflow/personality-model-profiles/profiles/gpt-4o.md,50,9,37,4,0,2,34,14,B_50_124,no
gpt-5-codex,analysis/freeflow/personality-model-profiles/profiles/gpt-5-codex.md,75,62,9,4,0,39,30,6,B_50_124,no
