rank,blind_id,value,UNBLINDING_METADATA_model
1,M041,0.700000,grok-4
2,M033,0.666667,gpt-5-2-codex
3,M032,0.666667,gpt-5-2
4,M007,0.666667,gemini-2-0-flash-lite
5,M028,0.662500,gpt-4o
6,M039,0.650000,gpt-5-codex
7,M029,0.650000,gpt-5
8,M010,0.600000,gemini-2-5-flash-lite
9,M030,0.583333,gpt-5-1
10,M080,0.566667,qwen3-max-thinking
11,M009,0.566667,gemini-2-5-flash
12,M055,0.558333,opus-3
13,M005,0.550000,gemini-2-0-flash
14,M075,0.541667,qwen3-6-plus
15,M073,0.533333,qwen3-6-flash
16,M072,0.533333,qwen3-5-plus-20260420
17,M031,0.525000,gpt-5-1-codex
18,M054,0.508380,minimax-m2-7
19,M079,0.500000,qwen3-max
20,M071,0.458333,qwen3-5-flash-02-23
21,M074,0.450000,qwen3-6-max-preview
22,M027,0.375000,gpt-4-1
23,M021,0.308333,glm-4-5
24,M004,0.294781,deepseek-v4-pro
25,M003,0.286581,deepseek-v3-2
26,M035,0.283333,gpt-5-3-codex
27,M002,0.266667,deepseek-chat
28,M053,0.254167,minimax-m2
29,M023,0.233333,glm-4-6-coding
30,M036,0.220833,gpt-5-4
31,M019,0.208333,gemma-4-31b
32,M024,0.200758,glm-4-7
33,M047,0.200000,kimi-coding
34,M037,0.200000,gpt-5-5
35,M076,0.183333,qwen3-7-max
36,M022,0.179167,glm-4-6
37,M077,0.175000,qwen3-coder-flash
38,M013,0.175000,gemini-3-1-pro
39,M011,0.175000,gemini-2-5-pro
40,M026,0.166667,glm-5-1-coding
41,M017,0.166667,gemma-4-26b-a4b
42,M016,0.166667,gemini-3-flash-preview
43,M015,0.166667,gemini-3-5-flash
44,M012,0.166667,gemini-3-1-flash-lite
45,M052,0.155556,kimi-k2-thinking
46,M046,0.154167,grok-4-3
47,M051,0.141667,kimi-k2-6
48,M040,0.141667,grok-3
49,M038,0.141667,gpt-5-5-pro
50,M050,0.125000,kimi-k2-5
51,M083,0.083333,sonnet-4-6
52,M034,0.083333,gpt-5-3
53,M082,0.058333,sonnet-4-5
54,M049,0.050000,kimi-k2-0905
55,M078,0.033333,qwen3-coder-plus
56,M044,0.025000,grok-4-1-fast-reasoning
57,M059,0.016667,opus-4-6
58,M056,0.008333,opus-4-0
59,M045,0.004167,grok-4-2
60,M081,0.000000,sonnet-4-0
61,M058,0.000000,opus-4-5
62,M057,0.000000,opus-4-1
63,M043,0.000000,grok-4-1-fast-non-reasoning
