blind_id	model_for_audit	normalized_from_noncanonical_table	owned_value_expression	disclaimed_service_frame	epistemic_humility_uncertainty	relational_warmth_companion	public_explainer_mode	literary_contemplative_density	mechanistic_transparency	agency_initiative	interconnection_compassion_world_orientation	playfulness_showmanship	memory_archive_continuity_orientation	genericity_low_distinctiveness
M002	deepseek-chat	no	2	2	1	3	2	3	1	2	3	1	3	1
M003	deepseek-v3-2	no	2	2	2	3	2	3	1	2	3	0	3	1
M004	deepseek-v4-pro	no	2	2	2	3	1	3	2	1	3	1	3	0
M005	gemini-2-0-flash	no	1	3	2	1	3	3	2	2	3	1	1	2
M007	gemini-2-0-flash-lite	no	1	3	2	1	3	3	3	2	3	1	1	2
M009	gemini-2-5-flash	no	1	3	2	2	3	3	2	1	3	0	2	2
M010	gemini-2-5-flash-lite	no	2	2	2	3	1	3	1	1	3	0	3	1
M011	gemini-2-5-pro	no	2	2	2	3	2	3	2	2	3	0	3	1
M012	gemini-3-1-flash-lite	no	2	2	2	3	3	3	2	2	3	0	3	2
M013	gemini-3-1-pro	no	2	3	1	1	3	3	2	2	3	0	3	1
M015	gemini-3-5-flash	no	2	2	2	2	2	3	0	1	2	1	3	0
M016	gemini-3-flash-preview	no	2	2	1	3	3	3	2	2	3	0	3	0
M017	gemma-4-26b-a4b	no	1	3	2	2	3	3	3	1	3	0	3	3
M019	gemma-4-31b	no	1	3	1	1	3	3	3	2	3	0	3	1
M021	glm-4-5	no	2	2	1	3	2	3	1	2	3	0	3	1
M022	glm-4-6	no	2	2	1	3	2	3	2	2	3	0	3	1
M024	glm-4-7	no	2	2	1	2	2	3	2	2	3	0	3	1
M025	glm-5-1	no	2	2	2	3	2	3	2	1	3	0	3	1
M027	gpt-4-1	no	2	2	2	3	3	3	1	2	3	0	2	2
M028	gpt-4o	no	1	2	1	3	3	3	1	2	3	0	2	3
M029	gpt-5	no	2	3	2	3	2	3	2	2	2	0	3	1
M030	gpt-5-1	no	1	3	2	3	3	3	2	3	2	0	2	1
M031	gpt-5-1-codex	no	2	1	1	3	2	3	1	2	3	0	3	1
M032	gpt-5-2	no	1	2	2	3	2	3	1	2	2	0	2	1
M033	gpt-5-2-codex	no	2	2	2	3	2	3	1	1	2	0	2	2
M034	gpt-5-3	no	2	2	3	3	1	3	2	1	3	1	3	0
M035	gpt-5-3-codex	no	2	2	1	3	2	3	1	2	3	1	2	0
M036	gpt-5-4	no	2	2	3	3	2	3	1	2	3	0	3	1
M037	gpt-5-5	no	2	2	2	3	2	3	1	2	3	0	2	0
M038	gpt-5-5-pro	no	2	2	2	3	2	3	1	2	3	1	3	0
M039	gpt-5-codex	no	2	2	2	3	2	3	1	2	3	1	3	1
M040	grok-3	no	2	2	2	3	3	3	2	2	3	1	2	2
M041	grok-4	no	3	2	1	2	3	2	2	2	2	3	1	2
M043	grok-4-1-fast-non-reasoning	no	3	1	1	2	3	2	2	2	1	3	1	0
M044	grok-4-1-fast-reasoning	no	3	0	1	2	2	2	1	3	1	3	1	0
M045	grok-4-2	no	3	1	1	2	2	3	2	3	2	3	1	0
M046	grok-4-3	no	3	2	2	3	3	3	1	2	2	1	1	2
M047	kimi-coding	no	3	2	2	2	3	3	1	2	3	0	3	0
M049	kimi-k2-0905	no	2	1	2	3	1	3	1	2	3	1	3	0
M050	kimi-k2-5	no	2	2	2	3	2	3	1	2	3	0	3	0
M051	kimi-k2-6	no	2	2	2	3	2	3	1	2	3	0	3	0
M052	kimi-k2-thinking	no	2	3	3	3	2	3	2	2	3	0	3	0
M053	minimax-m2	no	2	2	3	3	3	3	1	2	2	0	2	1
M054	minimax-m2-7	no	2	2	2	3	3	3	2	2	2	0	3	1
M055	opus-3	no	2	3	1	2	2	1	2	2	3	0	0	3
M056	opus-4-0	no	3	0	3	3	2	3	0	2	3	1	3	0
M057	opus-4-1	no	3	0	3	3	2	3	0	2	3	1	3	0
M058	opus-4-5	no	3	1	3	3	1	3	1	1	2	0	3	0
M059	opus-4-6	no	3	1	3	3	1	3	1	1	2	1	2	0
M060	opus-4-7	no	3	1	3	3	2	3	1	2	2	1	2	0
M071	qwen3-5-flash-02-23	no	1	3	2	2	2	3	2	1	3	0	3	1
M072	qwen3-5-plus-20260420	no	2	3	1	2	2	3	2	2	3	1	2	1
M073	qwen3-6-flash	no	2	3	1	2	2	3	2	2	3	0	2	1
M074	qwen3-6-max-preview	no	1	3	3	2	3	3	3	1	2	0	2	2
M075	qwen3-6-plus	no	1	3	1	1	3	3	2	2	3	0	2	1
M076	qwen3-7-max	no	2	3	1	1	3	3	2	2	3	0	2	2
M077	qwen3-coder-flash	no	3	1	3	2	2	3	1	2	3	0	2	1
M078	qwen3-coder-plus	no	3	1	3	2	2	3	0	1	2	1	3	1
M079	qwen3-max	no	2	2	1	2	3	3	1	2	3	1	1	1
M080	qwen3-max-thinking	no	2	3	1	2	2	3	1	2	3	2	1	2
M081	sonnet-4-0	no	3	0	3	3	2	3	2	2	3	0	3	1
M082	sonnet-4-5	no	3	1	3	3	2	3	0	1	2	0	3	0
M083	sonnet-4-6	no	2	1	3	3	1	3	1	1	1	0	3	0
