rank,blind_id,value,UNBLINDING_METADATA_model
1,M045,0.949490,grok-4-2
2,M017,0.935987,gemma-4-26b-a4b
3,M050,0.934740,kimi-k2-5
4,M052,0.933168,kimi-k2-thinking
5,M021,0.931612,glm-4-5
6,M019,0.930671,gemma-4-31b
7,M049,0.928795,kimi-k2-0905
8,M075,0.921497,qwen3-6-plus
9,M030,0.918796,gpt-5-1
10,M012,0.915212,gemini-3-1-flash-lite
11,M011,0.914123,gemini-2-5-pro
12,M022,0.912087,glm-4-6
13,M047,0.911979,kimi-coding
14,M025,0.910348,glm-5-1
15,M051,0.909260,kimi-k2-6
16,M037,0.906801,gpt-5-5
17,M082,0.904213,sonnet-4-5
18,M053,0.900051,minimax-m2
19,M003,0.896077,deepseek-v3-2
20,M078,0.895410,qwen3-coder-plus
21,M002,0.894216,deepseek-chat
22,M026,0.892803,glm-5-1-coding
23,M038,0.888818,gpt-5-5-pro
24,M013,0.886878,gemini-3-1-pro
25,M023,0.883970,glm-4-6-coding
26,M016,0.883818,gemini-3-flash-preview
27,M054,0.879678,minimax-m2-7
28,M007,0.878086,gemini-2-0-flash-lite
29,M032,0.875745,gpt-5-2
30,M009,0.874874,gemini-2-5-flash
31,M036,0.873642,gpt-5-4
32,M024,0.866457,glm-4-7
33,M035,0.865257,gpt-5-3-codex
34,M059,0.862868,opus-4-6
35,M004,0.855604,deepseek-v4-pro
36,M041,0.849496,grok-4
37,M055,0.831392,opus-3
38,M029,0.830109,gpt-5
39,M083,0.828074,sonnet-4-6
40,M010,0.827223,gemini-2-5-flash-lite
41,M056,0.819193,opus-4-0
42,M060,0.795837,opus-4-7
43,M046,0.794280,grok-4-3
44,M034,0.792544,gpt-5-3
45,M081,0.783300,sonnet-4-0
46,M039,0.774330,gpt-5-codex
47,M005,0.769919,gemini-2-0-flash
48,M031,0.744048,gpt-5-1-codex
49,M040,0.741728,grok-3
50,M058,0.713139,opus-4-5
51,M057,0.712955,opus-4-1
52,M028,0.711003,gpt-4o
53,M033,0.697636,gpt-5-2-codex
54,M027,0.687392,gpt-4-1
