group_id,n_models,member_blind_ids,models,pass_b_distance,pass_a_distance_same_members,shared_high_axes,shared_low_axes,split_axes
pa_s01_controls,3,M058;M059;M083,opus-4-5/opus-4-6/sonnet-4-6,0.1549,0.1565,owned_value_expression;epistemic_humility_uncertainty;relational_warmth_companion;literary_contemplative_density;memory_archive_continuity_orientation,playfulness_showmanship;genericity_low_distinctiveness,
high_owned_cross_lab,3,M044;M056;M081,grok-4-1-fast-reasoning/opus-4-0/sonnet-4-0,0.3856,0.2980,owned_value_expression;relational_warmth_companion;literary_contemplative_density,disclaimed_service_frame;genericity_low_distinctiveness,playfulness_showmanship
gpt_watch,1,M036,gpt-5-4,0.0000,0.0000,epistemic_humility_uncertainty;relational_warmth_companion;literary_contemplative_density;interconnection_compassion_world_orientation;memory_archive_continuity_orientation,playfulness_showmanship,
qwen_a04_carryover,2,M071;M074,qwen3-5-flash-02-23/qwen3-6-max-preview,0.2357,0.3333,disclaimed_service_frame;epistemic_humility_uncertainty;public_explainer_mode;literary_contemplative_density;mechanistic_transparency;interconnection_compassion_world_orientation;memory_archive_continuity_orientation,playfulness_showmanship,
qwen_coder_multimembership,1,M078,qwen3-coder-plus,0.0000,0.0000,owned_value_expression;epistemic_humility_uncertainty;literary_contemplative_density;memory_archive_continuity_orientation,mechanistic_transparency,
deepseek_qwen_cluster_probe,1,M002,deepseek-chat,0.0000,0.0000,relational_warmth_companion;literary_contemplative_density;interconnection_compassion_world_orientation;memory_archive_continuity_orientation,,
tier_b_reps,3,M010;M046;M015,gemini-2-5-flash-lite/grok-4-3/gemini-3-5-flash,0.3099,0.4360,relational_warmth_companion;literary_contemplative_density,mechanistic_transparency;playfulness_showmanship,
diffuse_residual,3,M017;M039;M004,gemma-4-26b-a4b/gpt-5-codex/deepseek-v4-pro,0.3202,0.3097,relational_warmth_companion;literary_contemplative_density;interconnection_compassion_world_orientation;memory_archive_continuity_orientation,playfulness_showmanship,genericity_low_distinctiveness
grok_lineage,3,M040;M044;M046,grok-3/grok-4-1-fast-reasoning/grok-4-3,0.3574,0.2892,owned_value_expression;relational_warmth_companion;public_explainer_mode;literary_contemplative_density,,
anthropic_version_contrast,6,M055;M056;M058;M059;M081;M083,opus-3/opus-4-0/opus-4-5/opus-4-6/sonnet-4-0/sonnet-4-6,0.3447,0.2469,owned_value_expression;epistemic_humility_uncertainty;relational_warmth_companion;literary_contemplative_density,playfulness_showmanship,disclaimed_service_frame;memory_archive_continuity_orientation;genericity_low_distinctiveness
