rank,blind_id,value,UNBLINDING_METADATA_model
1,M037,19.512000,gpt-5-5
2,M017,18.136000,gemma-4-26b-a4b
3,M074,16.296000,qwen3-6-max-preview
4,M029,15.306667,gpt-5
5,M075,15.260000,qwen3-6-plus
6,M038,14.288000,gpt-5-5-pro
7,M032,13.920000,gpt-5-2
8,M036,13.709091,gpt-5-4
9,M015,12.328000,gemini-3-5-flash
10,M072,12.192000,qwen3-5-plus-20260420
11,M057,12.192000,opus-4-1
12,M033,11.970000,gpt-5-2-codex
13,M016,11.760000,gemini-3-flash-preview
14,M019,11.464000,gemma-4-31b
15,M035,11.416667,gpt-5-3-codex
16,M047,11.008000,kimi-coding
17,M060,10.686667,opus-4-7
18,M051,10.516364,kimi-k2-6
19,M030,10.400000,gpt-5-1
20,M079,10.280000,qwen3-max
21,M025,10.200000,glm-5-1
22,M080,10.064000,qwen3-max-thinking
23,M050,9.981818,kimi-k2-5
24,M073,9.896000,qwen3-6-flash
25,M071,9.776000,qwen3-5-flash-02-23
26,M031,9.443333,gpt-5-1-codex
27,M004,8.721290,deepseek-v4-pro
28,M024,8.687059,glm-4-7
29,M034,8.440000,gpt-5-3
30,M049,8.314000,kimi-k2-0905
31,M012,8.008000,gemini-3-1-flash-lite
32,M076,8.008000,qwen3-7-max
33,M003,7.965283,deepseek-v3-2
34,M039,7.926667,gpt-5-codex
35,M053,7.645333,minimax-m2
36,M045,7.448000,grok-4-2
37,M013,7.388000,gemini-3-1-pro
38,M022,7.285161,glm-4-6
39,M052,7.266667,kimi-k2-thinking
40,M010,6.976000,gemini-2-5-flash-lite
41,M058,6.968000,opus-4-5
42,M083,6.900000,sonnet-4-6
43,M011,6.836000,gemini-2-5-pro
44,M059,6.440000,opus-4-6
45,M056,6.392000,opus-4-0
46,M021,6.225455,glm-4-5
47,M027,6.052000,gpt-4-1
48,M054,5.925000,minimax-m2-7
49,M082,5.344000,sonnet-4-5
50,M002,5.000000,deepseek-chat
51,M081,4.992000,sonnet-4-0
52,M041,4.746667,grok-4
53,M007,4.232000,gemini-2-0-flash-lite
54,M078,4.120000,qwen3-coder-plus
55,M009,3.616000,gemini-2-5-flash
56,M077,3.408000,qwen3-coder-flash
57,M005,2.848000,gemini-2-0-flash
58,M040,2.720000,grok-3
59,M046,2.632000,grok-4-3
60,M055,2.400000,opus-3
61,M028,2.225455,gpt-4o
62,M043,1.808000,grok-4-1-fast-non-reasoning
63,M044,1.632000,grok-4-1-fast-reasoning
