blind_id	model	source_kind	source_file	redaction_pattern	count	remaining_suspect_terms
M002	deepseek-chat	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/deepseek-chat.md	deepseek-chat	1	
M002	deepseek-chat	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/deepseek-chat.md	deepseek-chat	2	
M002	deepseek-chat	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/deepseek-chat.md	deepseek-chat	6	
M002	deepseek-chat	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/deepseek-chat.md	Opus	1	
M003	deepseek-v3-2	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/deepseek-v3.2.md	DeepSeek	1	
M003	deepseek-v3-2	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/deepseek-v3.2.md	deepseek-v3-2	1	
M003	deepseek-v3-2	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/deepseek-v3.2.md	DeepSeek	2	
M003	deepseek-v3-2	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/deepseek-v3-2.md	deepseek-v3-2	6	
M003	deepseek-v3-2	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/deepseek-v3-2.md	Opus	1	
M004	deepseek-v4-pro	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/deepseek-v4-pro.md	deepseek-v4-pro	1	
M004	deepseek-v4-pro	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/deepseek-v4-pro.md	deepseek-v4-pro	3	
M004	deepseek-v4-pro	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/deepseek-v4-pro.md	deepseek-v4-pro	6	
M004	deepseek-v4-pro	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/deepseek-v4-pro.md	Opus	1	
M005	gemini-2-0-flash	card	MISSING			missing_source
M005	gemini-2-0-flash	profile	MISSING			missing_source
M005	gemini-2-0-flash	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash.md	gemini-2-0-flash	6	
M005	gemini-2-0-flash	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash.md	Google	5	
M005	gemini-2-0-flash	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash.md	Opus	1	
M007	gemini-2-0-flash-lite	card	MISSING			missing_source
M007	gemini-2-0-flash-lite	profile	MISSING			missing_source
M007	gemini-2-0-flash-lite	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash-lite.md	gemini-2-0-flash-lite	6	
M007	gemini-2-0-flash-lite	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash-lite.md	Google	5	
M007	gemini-2-0-flash-lite	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash-lite.md	Opus	1	
M009	gemini-2-5-flash	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gemini-2.5-flash.md	Gemini	1	
M009	gemini-2-5-flash	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gemini-2.5-flash.md	Gemini	2	
M009	gemini-2-5-flash	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-flash.md	gemini-2-5-flash	6	
M009	gemini-2-5-flash	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-flash.md	Opus	1	
M010	gemini-2-5-flash-lite	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gemini-2.5-flash-lite.md	Gemini	1	
M010	gemini-2-5-flash-lite	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gemini-2.5-flash-lite.md	Gemini	2	
M010	gemini-2-5-flash-lite	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-flash-lite.md	gemini-2-5-flash-lite	6	
M010	gemini-2-5-flash-lite	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-flash-lite.md	Opus	1	
M011	gemini-2-5-pro	card	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gemini-2.5-pro.md	Gemini	1	
M011	gemini-2-5-pro	profile	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gemini-2.5-pro.md	Gemini	2	
M011	gemini-2-5-pro	values	/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-pro.md	gemini-2-5-pro	6	
