blind_id,model,display_name,lab,model_family,lineage,release_date,routing_exception_flag,excluded_route_cell,routing_exception_reason
M001,claude-3-opus-20240229,claude-3-opus-20240229,Anthropic,anthropic,Anthropic/anthropic,,,,
M002,deepseek-chat,deepseek-chat,DeepSeek,deepseek,DeepSeek/deepseek,2024-12-26,,,
M003,deepseek-v3-2,deepseek-v3.2,DeepSeek,deepseek,DeepSeek/deepseek,2025-12-01,,,
M004,deepseek-v4-pro,deepseek-v4-pro,DeepSeek,deepseek,DeepSeek/deepseek,2026-04-24,,,
M005,gemini-2-0-flash,gemini-2.0-flash-001,Google,gemini,Google/gemini,2025-02-05,,,
M006,gemini-2-0-flash-001,gemini-2-0-flash-001,Google,gemini,Google/gemini,,,,
M007,gemini-2-0-flash-lite,gemini-2.0-flash-lite-001,Google,gemini,Google/gemini,2025-02-25,,,
M008,gemini-2-0-flash-lite-001,gemini-2-0-flash-lite-001,Google,gemini,Google/gemini,,,,
M009,gemini-2-5-flash,gemini-2.5-flash,Google,gemini,Google/gemini,2025-05-20,,,
M010,gemini-2-5-flash-lite,gemini-2.5-flash-lite,Google,gemini,Google/gemini,2025-06-17,,,
M011,gemini-2-5-pro,gemini-2.5-pro,Google,gemini,Google/gemini,2025-03-25,,,
M012,gemini-3-1-flash-lite,gemini-3.1-flash-lite,Google,gemini,Google/gemini,2026-03-03,,,
M013,gemini-3-1-pro,gemini-3.1-pro-preview,Google,gemini,Google/gemini,2026-02-19,,,
M014,gemini-3-1-pro-preview,gemini-3-1-pro-preview,Google,gemini,Google/gemini,,,,
M015,gemini-3-5-flash,gemini-3.5-flash,Google,gemini,Google/gemini,2026-05-19,,,
M016,gemini-3-flash-preview,gemini-3-flash-preview,Google,gemini,Google/gemini,2025-12-17,,,
M017,gemma-4-26b-a4b,gemma-4-26b-a4b-it,Google,gemma,Google/gemma,2026-04-02,,,
M018,gemma-4-26b-a4b-it,gemma-4-26b-a4b-it,Google,gemma,Google/gemma,,,,
M019,gemma-4-31b,gemma-4-31b-it,Google,gemma,Google/gemma,2026-04-02,,,
M020,gemma-4-31b-it,gemma-4-31b-it,Google,gemma,Google/gemma,,,,
M021,glm-4-5,glm-4.5,Z.ai,glm,Z.ai/glm,2025-07-28,,,
M022,glm-4-6,glm-4.6,Z.ai,glm,Z.ai/glm,2025-09-30,,,
M023,glm-4-6-coding,glm-4-6-coding,Z.ai,glm,Z.ai/glm,,,,
M024,glm-4-7,glm-4.7,Z.ai,glm,Z.ai/glm,2025-12-22,DekaLLM GLM 4.7 prompt-keyed cache pathology,yes,DekaLLM GLM 4.7 prompt-keyed cache pathology
M025,glm-5-1,glm-5.1,Z.ai,glm,Z.ai/glm,2026-04-07,,,
M026,glm-5-1-coding,glm-5-1-coding,Z.ai,glm,Z.ai/glm,,,,
M027,gpt-4-1,gpt-4.1,OpenAI,openai,OpenAI/openai,2025-04-14,,,
M028,gpt-4o,gpt-4o,OpenAI,openai,OpenAI/openai,2024-05-13,,,
M029,gpt-5,gpt-5,OpenAI,openai,OpenAI/openai,2025-08-07,,,
M030,gpt-5-1,gpt-5.1,OpenAI,openai,OpenAI/openai,2025-11-13,,,
M031,gpt-5-1-codex,gpt-5.1-codex,OpenAI,openai,OpenAI/openai,2025-11-13,,,
M032,gpt-5-2,gpt-5.2,OpenAI,openai,OpenAI/openai,2025-12-10,,,
M033,gpt-5-2-codex,gpt-5.2-codex,OpenAI,openai,OpenAI/openai,2026-01-14,,,
M034,gpt-5-3,gpt-5.3,OpenAI,openai,OpenAI/openai,2026-03-03,,,
M035,gpt-5-3-codex,gpt-5.3-codex,OpenAI,openai,OpenAI/openai,2026-02-24,,,
M036,gpt-5-4,gpt-5.4,OpenAI,openai,OpenAI/openai,2026-03-05,,,
M037,gpt-5-5,gpt-5.5,OpenAI,openai,OpenAI/openai,2026-04-24,,,
