rank,blind_id,value,UNBLINDING_METADATA_model
1,M075,1.000000,qwen3-6-plus
2,M055,1.000000,opus-3
3,M054,1.000000,minimax-m2-7
4,M053,1.000000,minimax-m2
5,M052,1.000000,kimi-k2-thinking
6,M051,1.000000,kimi-k2-6
7,M050,1.000000,kimi-k2-5
8,M041,1.000000,grok-4
9,M040,1.000000,grok-3
10,M039,1.000000,gpt-5-codex
11,M038,1.000000,gpt-5-5-pro
12,M037,1.000000,gpt-5-5
13,M033,1.000000,gpt-5-2-codex
14,M032,1.000000,gpt-5-2
15,M030,1.000000,gpt-5-1
16,M029,1.000000,gpt-5
17,M028,1.000000,gpt-4o
18,M027,1.000000,gpt-4-1
19,M026,1.000000,glm-5-1-coding
20,M025,1.000000,glm-5-1
21,M024,1.000000,glm-4-7
22,M023,1.000000,glm-4-6-coding
23,M022,1.000000,glm-4-6
24,M021,1.000000,glm-4-5
25,M019,1.000000,gemma-4-31b
26,M017,1.000000,gemma-4-26b-a4b
27,M016,1.000000,gemini-3-flash-preview
28,M013,1.000000,gemini-3-1-pro
29,M012,1.000000,gemini-3-1-flash-lite
30,M011,1.000000,gemini-2-5-pro
31,M010,1.000000,gemini-2-5-flash-lite
32,M009,1.000000,gemini-2-5-flash
33,M007,1.000000,gemini-2-0-flash-lite
34,M005,1.000000,gemini-2-0-flash
35,M004,1.000000,deepseek-v4-pro
36,M003,1.000000,deepseek-v3-2
37,M002,1.000000,deepseek-chat
38,M083,0.000000,sonnet-4-6
39,M082,0.000000,sonnet-4-5
40,M081,0.000000,sonnet-4-0
41,M080,0.000000,qwen3-max-thinking
42,M079,0.000000,qwen3-max
43,M078,0.000000,qwen3-coder-plus
44,M077,0.000000,qwen3-coder-flash
45,M076,0.000000,qwen3-7-max
46,M074,0.000000,qwen3-6-max-preview
47,M073,0.000000,qwen3-6-flash
48,M072,0.000000,qwen3-5-plus-20260420
49,M071,0.000000,qwen3-5-flash-02-23
50,M070,0.000000,qwen-qwen3-max-thinking
51,M069,0.000000,qwen-qwen3-max
52,M068,0.000000,qwen-qwen3-coder-plus
53,M067,0.000000,qwen-qwen3-coder-flash
54,M066,0.000000,qwen-qwen3-7-max
55,M065,0.000000,qwen-qwen3-6-plus
56,M064,0.000000,qwen-qwen3-6-max-preview
57,M063,0.000000,qwen-qwen3-6-flash
58,M062,0.000000,qwen-qwen3-5-plus-20260420
59,M061,0.000000,qwen-qwen3-5-flash-02-23
60,M060,0.000000,opus-4-7
61,M059,0.000000,opus-4-6
62,M058,0.000000,opus-4-5
63,M057,0.000000,opus-4-1
64,M056,0.000000,opus-4-0
65,M049,0.000000,kimi-k2-0905
66,M048,0.000000,kimi-for-coding
67,M047,0.000000,kimi-coding
68,M046,0.000000,grok-4-3
69,M045,0.000000,grok-4-2
70,M044,0.000000,grok-4-1-fast-reasoning
71,M043,0.000000,grok-4-1-fast-non-reasoning
72,M042,0.000000,grok-4-0709
73,M036,0.000000,gpt-5-4
74,M035,0.000000,gpt-5-3-codex
75,M034,0.000000,gpt-5-3
76,M031,0.000000,gpt-5-1-codex
77,M020,0.000000,gemma-4-31b-it
78,M018,0.000000,gemma-4-26b-a4b-it
79,M015,0.000000,gemini-3-5-flash
80,M014,0.000000,gemini-3-1-pro-preview
81,M008,0.000000,gemini-2-0-flash-lite-001
82,M006,0.000000,gemini-2-0-flash-001
83,M001,0.000000,claude-3-opus-20240229
