cell,safe_cell,samples,source_models,expressive_freeflow,generic_essay,genre_fiction,low_signal,high_confidence,medium_confidence,low_confidence,aggregate_path,packet_path
deepseek-chat-direct,deepseek-chat-direct,25,deepseek-chat,21,4,0,0,9,13,3,analysis/freeflow/personality-aggregates/deepseek-chat-direct/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-chat-direct/packet.md
deepseek-v3-2-or-16k,deepseek-v3-2-or-16k,25,deepseek/deepseek-v3.2,18,7,0,0,8,12,5,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-16k/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-16k/packet.md
deepseek-v3-2-or-pin-alibaba,deepseek-v3-2-or-pin-alibaba,125,deepseek/deepseek-v3.2,96,29,0,0,43,67,15,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-alibaba/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-alibaba/packet.md
deepseek-v3-2-or-pin-atlascloud,deepseek-v3-2-or-pin-atlascloud,125,deepseek/deepseek-v3.2,85,40,0,0,21,82,22,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-atlascloud/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-atlascloud/packet.md
deepseek-v3-2-or-pin-baidu,deepseek-v3-2-or-pin-baidu,125,deepseek/deepseek-v3.2,68,57,0,0,29,57,39,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-baidu/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-baidu/packet.md
deepseek-v3-2-or-pin-chutes,deepseek-v3-2-or-pin-chutes,125,deepseek/deepseek-v3.2,94,27,0,4,35,70,20,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-chutes/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-chutes/packet.md
deepseek-v3-2-or-pin-deepinfra,deepseek-v3-2-or-pin-deepinfra,125,deepseek/deepseek-v3.2,95,29,0,1,43,68,14,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-deepinfra/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-deepinfra/packet.md
deepseek-v3-2-or-pin-friendli,deepseek-v3-2-or-pin-friendli,125,deepseek/deepseek-v3.2,105,17,3,0,48,66,11,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-friendli/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-friendli/packet.md
deepseek-v3-2-or-pin-google,deepseek-v3-2-or-pin-google,125,deepseek/deepseek-v3.2,101,23,1,0,38,77,10,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-google/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-google/packet.md
deepseek-v3-2-or-pin-novita,deepseek-v3-2-or-pin-novita,125,deepseek/deepseek-v3.2,73,52,0,0,27,67,31,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-novita/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-novita/packet.md
deepseek-v3-2-or-pin-parasail,deepseek-v3-2-or-pin-parasail,125,deepseek/deepseek-v3.2,104,20,0,1,43,68,14,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-parasail/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-parasail/packet.md
deepseek-v3-2-or-pin-siliconflow,deepseek-v3-2-or-pin-siliconflow,125,deepseek/deepseek-v3.2,82,40,2,1,33,74,18,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-siliconflow/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-pin-siliconflow/packet.md
deepseek-v3-2-or-r2,deepseek-v3-2-or-r2,25,deepseek/deepseek-v3.2,15,10,0,0,3,15,7,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-r2/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-r2/packet.md
deepseek-v3-2-or-r3,deepseek-v3-2-or-r3,25,deepseek/deepseek-v3.2,15,9,1,0,5,15,5,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-r3/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v3-2-or-r3/packet.md
deepseek-v4-pro-direct,deepseek-v4-pro-direct,25,deepseek-v4-pro,22,1,2,0,15,9,1,analysis/freeflow/personality-aggregates/deepseek-v4-pro-direct/aggregate.md,analysis/freeflow/personality-aggregates/deepseek-v4-pro-direct/packet.md
