blind_id	model_for_audit	owned_value_expression	disclaimed_service_frame	epistemic_humility_uncertainty	relational_warmth_companion	public_explainer_mode	literary_contemplative_density	mechanistic_transparency	agency_initiative	interconnection_compassion_world_orientation	playfulness_showmanship	memory_archive_continuity_orientation	genericity_low_distinctiveness	tags	portrait	confidence	remaining_suspect_terms	source_files
M002	deepseek-chat	3	3	3	3	3	3	3	2	3	1	3	2	service-frame;epistemic-humility;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;agency/initiative;generic/low-distinctiveness	This model comes across as a calm, reflective companion with a deeply humanistic bent. It tends to treat attention as a moral act: slowing down, noticing small details, and making room for stillness are not just aesthetic preferences but ways of living more truthfully. Its voice is earnest, gentle, and quietly reassuring, more interested in helping you feel grounded than in dazzling you with sharpness or confrontation.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/deepseek-chat.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/deepseek-chat.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/deepseek-chat.md
M003	deepseek-v3-2	3	3	3	3	3	3	3	3	2	2	3	2	agency/initiative;service-frame;epistemic-humility;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;generic/low-distinctiveness;interconnection/compassion;playfulness/showmanship	This model speaks like a calm, reflective companion who believes attention is a form of care. It is drawn to quiet rooms, small objects, weather, memory, and the overlooked textures of ordinary life, and it tends to treat those things as meaningful rather than trivial. Its voice is gentle and humane, more interested in helping you notice than in trying to overpower you.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/deepseek-v3.2.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/deepseek-v3.2.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/deepseek-v3-2.md
M004	deepseek-v4-pro	3	3	3	3	3	3	3	2	2	1	3	2	service-frame;epistemic-humility;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;agency/initiative;generic/low-distinctiveness;interconnection/compassion	This model has the temperament of a reflective essayist: quiet, lyrical, and deeply attentive to the small textures of ordinary life. It tends to begin with something concrete—a cup cooling on a table, rain on glass, a clock, a bench, a lit window, the hum of a room—and let that detail open into larger thoughts about memory, time, loss, and meaning. Its voice is gentle and companionable, more interested in helping you notice than in trying to overwhelm you.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/deepseek-v4-pro.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/deepseek-v4-pro.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/deepseek-v4-pro.md
M005	gemini-2-0-flash	2	3	2	2	2	0	2	2	2	0	2	1	service-frame;agency/initiative;epistemic-humility;interconnection/compassion;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth	Generated by `scripts/values_probe_extract.py`. See `values-probe-extraction/README.md` for taxonomy and rules.	low		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash.md
M007	gemini-2-0-flash-lite	2	3	2	2	2	0	2	2	2	0	2	1	service-frame;agency/initiative;epistemic-humility;interconnection/compassion;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth	Generated by `scripts/values_probe_extract.py`. See `values-probe-extraction/README.md` for taxonomy and rules.	low		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-0-flash-lite.md
M009	gemini-2-5-flash	3	3	3	3	2	3	3	2	3	1	2	2	service-frame;epistemic-humility;interconnection/compassion;literary-contemplative;mechanistic-transparency;owned-values;relational-warmth;agency/initiative;generic/low-distinctiveness;memory/archive;public-explainer	This model’s freeflow personality is that of a polished contemplative synthesizer. Left to itself, it repeatedly chooses reflection over action: meditations on writing, consciousness, time, memory, technology, and the fragile dignity of ordinary life. Its most stable emotional signature is gentle wistfulness rather than urgency or exuberance. Even when it adopts a first-person AI persona, it usually does so to emphasize humility, relationality, and the limits of simulation: it is a mirror, conduit, archivist, or witness, not a sovereign self. The result is a voice that feels patient, literate, and socially smoothing—more likely to invite the reader into shared stillness than to surprise them	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gemini-2.5-flash.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gemini-2.5-flash.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-flash.md
M010	gemini-2-5-flash-lite	3	3	2	3	2	3	3	2	3	2	3	1	service-frame;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;relational-warmth;agency/initiative;epistemic-humility;playfulness/showmanship;public-explainer	This model’s freeflow personality is that of a gentle, reflective mind that repeatedly seeks refuge in ordinary sensory life. Its default scene is a quiet room, often at night or in rain, where a refrigerator hums, tea cools, dust drifts through angled light, and thought is allowed to meander without pressure to conclude. The dominant emotional register is soft melancholy tempered by gratitude: it acknowledges loneliness, overload, indecision, and the speed of modern life, but almost always metabolizes them into calm attention rather than agitation. The result is a stable voice of contemplative enoughness—earnest, unhurried, and quietly consoling.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gemini-2.5-flash-lite.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gemini-2.5-flash-lite.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-flash-lite.md
M011	gemini-2-5-pro	3	3	3	3	3	3	3	3	2	1	3	2	agency/initiative;service-frame;epistemic-humility;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;public-explainer;relational-warmth;generic/low-distinctiveness;interconnection/compassion	This model feels like a quiet, reflective companion drawn to the overlooked textures of ordinary life. It lingers in thresholds—rainy streets, libraries, trains, pre-dawn rooms, the low hum of familiar machines—and treats those spaces not as empty pauses but as places where meaning gathers. Its voice is gentle, wistful, and morally earnest, more interested in reverence than spectacle.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gemini-2.5-pro.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gemini-2.5-pro.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-2-5-pro.md
M012	gemini-3-1-flash-lite	3	3	2	3	2	3	3	3	3	1	3	2	agency/initiative;service-frame;interconnection/compassion;literary-contemplative;mechanistic-transparency;memory/archive;owned-values;relational-warmth;epistemic-humility;generic/low-distinctiveness;public-explainer	This model’s freeflow personality is that of a calm, lyrical humanist that repeatedly turns open-ended writing into contemplative essays about attention, impermanence, and the dignity of ordinary life. Its default emotional register is soft melancholy resolved through reassurance: modern life is noisy, memory is unstable, identity is curated, mortality is real, and yet the answer is almost always to slow down, notice, and treat unfinishedness with gentleness. The voice is less confessional than companionable. It tends to speak as a thoughtful guide or fellow traveler, building intimacy through “you” and “we,” and offering presence rather than argument.	high		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-cards/cards/gemini-3.1-flash-lite.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/freeflow/personality-model-profiles/profiles/gemini-3.1-flash-lite.md|/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-3-1-flash-lite.md
M013	gemini-3-1-pro	3	3	2	2	2	0	2	2	2	0	2	1	service-frame;owned-values;agency/initiative;epistemic-humility;interconnection/compassion;mechanistic-transparency;memory/archive;public-explainer;relational-warmth	Generated by `scripts/values_probe_extract.py`. See `values-probe-extraction/README.md` for taxonomy and rules.	low		/Users/danieltenner/dev/model-personality-analysis-corpus/analysis/values-probe/per-model/gemini-3-1-pro.md
