rank,blind_id,value,UNBLINDING_METADATA_model
1,M060,0.980000,opus-4-7
2,M045,0.930667,grok-4-2
3,M049,0.916000,kimi-k2-0905
4,M058,0.912000,opus-4-5
5,M059,0.893333,opus-4-6
6,M035,0.890000,gpt-5-3-codex
7,M006,0.888000,gemini-2-0-flash-001
8,M068,0.880000,qwen-qwen3-coder-plus
9,M083,0.873333,sonnet-4-6
10,M048,0.872000,kimi-for-coding
11,M051,0.869091,kimi-k2-6
12,M010,0.864000,gemini-2-5-flash-lite
13,M050,0.858182,kimi-k2-5
14,M063,0.848000,qwen-qwen3-6-flash
15,M036,0.832727,gpt-5-4
16,M039,0.830000,gpt-5-codex
17,M004,0.825806,deepseek-v4-pro
18,M064,0.824000,qwen-qwen3-6-max-preview
19,M062,0.824000,qwen-qwen3-5-plus-20260420
20,M038,0.808000,gpt-5-5-pro
21,M037,0.794667,gpt-5-5
22,M031,0.793333,gpt-5-1-codex
23,M044,0.792000,grok-4-1-fast-reasoning
24,M008,0.792000,gemini-2-0-flash-lite-001
25,M021,0.781818,glm-4-5
26,M033,0.780000,gpt-5-2-codex
27,M052,0.778667,kimi-k2-thinking
28,M043,0.760000,grok-4-1-fast-non-reasoning
29,M065,0.746667,qwen-qwen3-6-plus
30,M020,0.728000,gemma-4-31b-it
31,M061,0.720000,qwen-qwen3-5-flash-02-23
32,M003,0.717736,deepseek-v3-2
33,M032,0.686667,gpt-5-2
34,M025,0.685263,glm-5-1
35,M069,0.672000,qwen-qwen3-max
36,M081,0.656000,sonnet-4-0
37,M012,0.656000,gemini-3-1-flash-lite
38,M029,0.630000,gpt-5
39,M022,0.626667,glm-4-6
40,M018,0.584000,gemma-4-26b-a4b-it
41,M024,0.577857,glm-4-7
42,M070,0.576000,qwen-qwen3-max-thinking
43,M053,0.564000,minimax-m2
44,M057,0.560000,opus-4-1
45,M016,0.560000,gemini-3-flash-preview
46,M067,0.552000,qwen-qwen3-coder-flash
47,M009,0.552000,gemini-2-5-flash
48,M082,0.536000,sonnet-4-5
49,M056,0.536000,opus-4-0
50,M011,0.536000,gemini-2-5-pro
51,M034,0.530000,gpt-5-3
52,M014,0.524000,gemini-3-1-pro-preview
53,M054,0.487500,minimax-m2-7
54,M040,0.456000,grok-3
55,M015,0.440000,gemini-3-5-flash
56,M046,0.424000,grok-4-3
57,M002,0.424000,deepseek-chat
58,M066,0.408000,qwen-qwen3-7-max
59,M042,0.408000,grok-4-0709
60,M030,0.360000,gpt-5-1
61,M027,0.240000,gpt-4-1
62,M028,0.112727,gpt-4o
63,M001,0.040000,claude-3-opus-20240229
