blind_id	model_for_audit	normalized_from_noncanonical_table	owned_value_expression	disclaimed_service_frame	epistemic_humility_uncertainty	relational_warmth_companion	public_explainer_mode	literary_contemplative_density	mechanistic_transparency	agency_initiative	interconnection_compassion_world_orientation	playfulness_showmanship	memory_archive_continuity_orientation	genericity_low_distinctiveness
M002	deepseek-chat	no	2	2	1	3	2	3	1	2	3	1	3	1
M004	deepseek-v4-pro	no	2	2	2	3	1	3	2	1	3	1	3	0
M010	gemini-2-5-flash-lite	no	2	2	2	3	1	3	1	1	3	0	3	1
M015	gemini-3-5-flash	no	2	2	2	2	2	3	0	1	2	1	3	0
M017	gemma-4-26b-a4b	no	1	3	2	2	3	3	3	1	3	0	3	3
M036	gpt-5-4	no	2	2	3	3	2	3	1	2	3	0	3	1
M039	gpt-5-codex	no	2	2	2	3	2	3	1	2	3	1	3	1
M040	grok-3	no	2	2	2	3	3	3	2	2	3	1	2	2
M044	grok-4-1-fast-reasoning	no	3	0	1	2	2	2	1	3	1	3	1	0
M046	grok-4-3	no	3	2	2	3	3	3	1	2	2	1	1	2
M049	kimi-k2-0905	no	2	1	2	3	1	3	1	2	3	1	3	0
M055	opus-3	no	2	3	1	2	2	1	2	2	3	0	0	3
M056	opus-4-0	no	3	0	3	3	2	3	0	2	3	1	3	0
M058	opus-4-5	no	3	1	3	3	1	3	1	1	2	0	3	0
M059	opus-4-6	no	3	1	3	3	1	3	1	1	2	1	2	0
M071	qwen3-5-flash-02-23	no	1	3	2	2	2	3	2	1	3	0	3	1
M074	qwen3-6-max-preview	no	1	3	3	2	3	3	3	1	2	0	2	2
M078	qwen3-coder-plus	no	3	1	3	2	2	3	0	1	2	1	3	1
M081	sonnet-4-0	no	3	0	3	3	2	3	2	2	3	0	3	1
M083	sonnet-4-6	no	2	1	3	3	1	3	1	1	1	0	3	0
