tier,n_models,n_method_block_combos,n_blocks,n_optics_params,n_dbscan_params,both_methods,min_q,blocks,member_blind_ids,models,labs,source_candidate_ids
A,8,6,1,4,2,yes,0.00286380286,values_disclosure,M043;M044;M045;M056;M057;M058;M060;M081,grok-4-1-fast-non-reasoning;grok-4-1-fast-reasoning;grok-4-2;opus-4-0;opus-4-1;opus-4-5;opus-4-7;sonnet-4-0,xAI;xAI;xAI;Anthropic;Anthropic;Anthropic;Anthropic;Anthropic,C0046;C0047;C0048;C0049;C0050;C0051
A,3,6,1,4,2,yes,0.00286380286,posture,M034;M036;M037,gpt-5-3;gpt-5-4;gpt-5-5,OpenAI;OpenAI;OpenAI,C0011;C0063;C0064;C0076;C0077;C0080
A,9,5,1,4,1,yes,0.00286380286,values_disclosure,M002;M071;M072;M073;M074;M076;M077;M079;M080,deepseek-chat;qwen3-5-flash-02-23;qwen3-5-plus-20260420;qwen3-6-flash;qwen3-6-max-preview;qwen3-7-max;qwen3-coder-flash;qwen3-max;qwen3-max-thinking,DeepSeek;Qwen;Qwen;Qwen;Qwen;Qwen;Qwen;Qwen;Qwen,C0036;C0037;C0038;C0039;C0040
A,4,5,1,4,1,yes,0.00286380286,posture,M071;M072;M073;M074,qwen3-5-flash-02-23;qwen3-5-plus-20260420;qwen3-6-flash;qwen3-6-max-preview,Qwen;Qwen;Qwen;Qwen,C0018;C0019;C0066;C0067;C0081
A,4,5,1,4,1,yes,0.00286380286,v1_markers,M077;M078;M081;M082,qwen3-coder-flash;qwen3-coder-plus;sonnet-4-0;sonnet-4-5,Qwen;Qwen;Anthropic;Anthropic,C0033;C0034;C0035;C0069;C0070
B,6,4,1,4,0,no,0.00286380286,values_owned,M071;M072;M073;M074;M079;M080,qwen3-5-flash-02-23;qwen3-5-plus-20260420;qwen3-6-flash;qwen3-6-max-preview;qwen3-max;qwen3-max-thinking,Qwen;Qwen;Qwen;Qwen;Qwen;Qwen,C0056;C0057;C0058;C0059
B,5,4,1,4,0,no,0.00286380286,values_owned,M015;M043;M044;M076;M077,gemini-3-5-flash;grok-4-1-fast-non-reasoning;grok-4-1-fast-reasoning;qwen3-7-max;qwen3-coder-flash,Google;xAI;xAI;Qwen;Qwen,C0052;C0053;C0054;C0055
B,5,4,1,0,4,no,0.00679523991,freeflow_form,M016;M053;M056;M057;M082,gemini-3-flash-preview;minimax-m2;opus-4-0;opus-4-1;sonnet-4-5,Google;MiniMax;Anthropic;Anthropic;Anthropic,C0075;C0088;C0096;C0099
B,4,4,1,4,0,no,0.00486789552,values_disclosure,M003;M021;M027;M037,deepseek-v3-2;glm-4-5;gpt-4-1;gpt-5-5,DeepSeek;Z.ai;OpenAI;OpenAI,C0071;C0072;C0083;C0093
B,3,4,1,4,0,no,0.00286380286,posture,M007;M009;M010,gemini-2-0-flash-lite;gemini-2-5-flash;gemini-2-5-flash-lite,Google;Google;Google,C0009;C0010;C0061;C0062
B,3,4,1,4,0,no,0.00286380286,values_disclosure,M007;M028;M032,gemini-2-0-flash-lite;gpt-4o;gpt-5-2,Google;OpenAI;OpenAI,C0043;C0044;C0085;C0090
B,3,4,1,4,0,no,0.00286380286,values_disclosure,M005;M010;M030,gemini-2-0-flash;gemini-2-5-flash-lite;gpt-5-1,Google;Google;OpenAI,C0042;C0079;C0084;C0089
