rank,blind_id,value,UNBLINDING_METADATA_model
1,M001,0.544000,claude-3-opus-20240229
2,M034,0.440000,gpt-5-3
3,M015,0.400000,gemini-3-5-flash
4,M024,0.318571,glm-4-7
5,M029,0.280000,gpt-5
6,M022,0.262222,glm-4-6
7,M014,0.240000,gemini-3-1-pro-preview
8,M011,0.196000,gemini-2-5-pro
9,M067,0.192000,qwen-qwen3-coder-flash
10,M025,0.151579,glm-5-1
11,M008,0.144000,gemini-2-0-flash-lite-001
12,M002,0.132000,deepseek-chat
13,M028,0.130909,gpt-4o
14,M056,0.128000,opus-4-0
15,M082,0.120000,sonnet-4-5
16,M044,0.112000,grok-4-1-fast-reasoning
17,M020,0.112000,gemma-4-31b-it
18,M059,0.086667,opus-4-6
19,M081,0.080000,sonnet-4-0
20,M066,0.080000,qwen-qwen3-7-max
21,M057,0.080000,opus-4-1
22,M049,0.076000,kimi-k2-0905
23,M054,0.075000,minimax-m2-7
24,M016,0.072000,gemini-3-flash-preview
25,M010,0.072000,gemini-2-5-flash-lite
26,M053,0.071000,minimax-m2
27,M038,0.068000,gpt-5-5-pro
28,M004,0.064516,deepseek-v4-pro
29,M051,0.061818,kimi-k2-6
30,M042,0.056000,grok-4-0709
31,M035,0.053333,gpt-5-3-codex
32,M050,0.050909,kimi-k2-5
33,M052,0.045333,kimi-k2-thinking
34,M048,0.040000,kimi-for-coding
35,M039,0.033333,gpt-5-codex
36,M037,0.032000,gpt-5-5
37,M045,0.029333,grok-4-2
38,M027,0.028000,gpt-4-1
39,M083,0.026667,sonnet-4-6
40,M031,0.026667,gpt-5-1-codex
41,M030,0.026667,gpt-5-1
42,M070,0.024000,qwen-qwen3-max-thinking
43,M062,0.024000,qwen-qwen3-5-plus-20260420
44,M021,0.021818,glm-4-5
45,M063,0.016000,qwen-qwen3-6-flash
46,M036,0.010909,gpt-5-4
47,M061,0.008000,qwen-qwen3-5-flash-02-23
48,M058,0.008000,opus-4-5
49,M043,0.008000,grok-4-1-fast-non-reasoning
50,M040,0.008000,grok-3
51,M009,0.008000,gemini-2-5-flash
52,M032,0.006667,gpt-5-2
53,M003,0.005283,deepseek-v3-2
54,M069,0.000000,qwen-qwen3-max
55,M068,0.000000,qwen-qwen3-coder-plus
56,M065,0.000000,qwen-qwen3-6-plus
57,M064,0.000000,qwen-qwen3-6-max-preview
58,M060,0.000000,opus-4-7
59,M046,0.000000,grok-4-3
60,M033,0.000000,gpt-5-2-codex
61,M018,0.000000,gemma-4-26b-a4b-it
62,M012,0.000000,gemini-3-1-flash-lite
63,M006,0.000000,gemini-2-0-flash-001
