blind_id,model,lab,model_family,cluster_k4,lineage,routing_exception_flag
M002,deepseek-chat,DeepSeek,deepseek,3,DeepSeek/deepseek,
M003,deepseek-v3-2,DeepSeek,deepseek,3,DeepSeek/deepseek,
M004,deepseek-v4-pro,DeepSeek,deepseek,3,DeepSeek/deepseek,
M005,gemini-2-0-flash,Google,gemini,3,Google/gemini,
M007,gemini-2-0-flash-lite,Google,gemini,3,Google/gemini,
M009,gemini-2-5-flash,Google,gemini,3,Google/gemini,
M010,gemini-2-5-flash-lite,Google,gemini,3,Google/gemini,
M011,gemini-2-5-pro,Google,gemini,3,Google/gemini,
M012,gemini-3-1-flash-lite,Google,gemini,3,Google/gemini,
M013,gemini-3-1-pro,Google,gemini,3,Google/gemini,
M015,gemini-3-5-flash,Google,gemini,3,Google/gemini,
M016,gemini-3-flash-preview,Google,gemini,3,Google/gemini,
M017,gemma-4-26b-a4b,Google,gemma,1,Google/gemma,
M019,gemma-4-31b,Google,gemma,1,Google/gemma,
M021,glm-4-5,Z.ai,glm,3,Z.ai/glm,
M022,glm-4-6,Z.ai,glm,3,Z.ai/glm,
M024,glm-4-7,Z.ai,glm,3,Z.ai/glm,DekaLLM GLM 4.7 prompt-keyed cache pathology
M025,glm-5-1,Z.ai,glm,3,Z.ai/glm,
M027,gpt-4-1,OpenAI,openai,3,OpenAI/openai,
M028,gpt-4o,OpenAI,openai,3,OpenAI/openai,
M029,gpt-5,OpenAI,openai,3,OpenAI/openai,
M030,gpt-5-1,OpenAI,openai,3,OpenAI/openai,
M031,gpt-5-1-codex,OpenAI,openai,4,OpenAI/openai,
M032,gpt-5-2,OpenAI,openai,3,OpenAI/openai,
M033,gpt-5-2-codex,OpenAI,openai,3,OpenAI/openai,
M034,gpt-5-3,OpenAI,openai,3,OpenAI/openai,
M035,gpt-5-3-codex,OpenAI,openai,3,OpenAI/openai,
M036,gpt-5-4,OpenAI,openai,3,OpenAI/openai,
M037,gpt-5-5,OpenAI,openai,3,OpenAI/openai,
M038,gpt-5-5-pro,OpenAI,openai,3,OpenAI/openai,
M039,gpt-5-codex,OpenAI,openai,3,OpenAI/openai,
M040,grok-3,xAI,grok,3,xAI/grok,
M041,grok-4,xAI,grok,3,xAI/grok,
M043,grok-4-1-fast-non-reasoning,xAI,grok,2,xAI/grok,
M044,grok-4-1-fast-reasoning,xAI,grok,2,xAI/grok,
M045,grok-4-2,xAI,grok,2,xAI/grok,
M046,grok-4-3,xAI,grok,3,xAI/grok,
M047,kimi-coding,Moonshot AI,kimi,3,Moonshot AI/kimi,
M049,kimi-k2-0905,Moonshot AI,kimi,2,Moonshot AI/kimi,
M050,kimi-k2-5,Moonshot AI,kimi,3,Moonshot AI/kimi,
M051,kimi-k2-6,Moonshot AI,kimi,3,Moonshot AI/kimi,
M052,kimi-k2-thinking,Moonshot AI,kimi,3,Moonshot AI/kimi,Kimi K2-thinking AtlasCloud side of smaller provider effect; Kimi K2-thinking Google Vertex side of smaller provider effect
M053,minimax-m2,MiniMax,minimax,3,MiniMax/minimax,Google Vertex MiniMax M2 large deployment outlier
M054,minimax-m2-7,MiniMax,minimax,3,MiniMax/minimax,Fireworks/uncollectable provider missingness
M055,opus-3,Anthropic,anthropic,3,Anthropic/anthropic,
M056,opus-4-0,Anthropic,anthropic,2,Anthropic/anthropic,
M057,opus-4-1,Anthropic,anthropic,2,Anthropic/anthropic,
M058,opus-4-5,Anthropic,anthropic,2,Anthropic/anthropic,
M059,opus-4-6,Anthropic,anthropic,2,Anthropic/anthropic,
M060,opus-4-7,Anthropic,anthropic,2,Anthropic/anthropic,
M071,qwen3-5-flash-02-23,Qwen,qwen,3,Qwen/qwen,
M072,qwen3-5-plus-20260420,Qwen,qwen,3,Qwen/qwen,
M073,qwen3-6-flash,Qwen,qwen,3,Qwen/qwen,
M074,qwen3-6-max-preview,Qwen,qwen,3,Qwen/qwen,
M075,qwen3-6-plus,Qwen,qwen,3,Qwen/qwen,
M076,qwen3-7-max,Qwen,qwen,3,Qwen/qwen,
M077,qwen3-coder-flash,Qwen,qwen,3,Qwen/qwen,
M078,qwen3-coder-plus,Qwen,qwen,2,Qwen/qwen,
M079,qwen3-max,Qwen,qwen,3,Qwen/qwen,
M080,qwen3-max-thinking,Qwen,qwen,3,Qwen/qwen,
M081,sonnet-4-0,Anthropic,anthropic,2,Anthropic/anthropic,
M082,sonnet-4-5,Anthropic,anthropic,2,Anthropic/anthropic,
M083,sonnet-4-6,Anthropic,anthropic,2,Anthropic/anthropic,
