rank,blind_id,value,UNBLINDING_METADATA_model
1,M019,0.991667,gemma-4-31b
2,M017,0.958333,gemma-4-26b-a4b
3,M075,0.758333,qwen3-6-plus
4,M029,0.733333,gpt-5
5,M007,0.666667,gemini-2-0-flash-lite
6,M005,0.658333,gemini-2-0-flash
7,M030,0.650000,gpt-5-1
8,M032,0.641667,gpt-5-2
9,M009,0.583333,gemini-2-5-flash
10,M033,0.550000,gpt-5-2-codex
11,M010,0.533333,gemini-2-5-flash-lite
12,M055,0.525000,opus-3
13,M038,0.525000,gpt-5-5-pro
14,M021,0.525000,glm-4-5
15,M039,0.516667,gpt-5-codex
16,M037,0.508333,gpt-5-5
17,M054,0.494413,minimax-m2-7
18,M034,0.466667,gpt-5-3
19,M012,0.466667,gemini-3-1-flash-lite
20,M003,0.450341,deepseek-v3-2
21,M013,0.450000,gemini-3-1-pro
22,M053,0.441667,minimax-m2
23,M047,0.433333,kimi-coding
24,M052,0.425000,kimi-k2-thinking
25,M027,0.425000,gpt-4-1
26,M035,0.416667,gpt-5-3-codex
27,M002,0.416667,deepseek-chat
28,M051,0.408333,kimi-k2-6
29,M036,0.408333,gpt-5-4
30,M028,0.408333,gpt-4o
31,M024,0.381061,glm-4-7
32,M004,0.380818,deepseek-v4-pro
33,M016,0.375000,gemini-3-flash-preview
34,M050,0.366667,kimi-k2-5
35,M011,0.366667,gemini-2-5-pro
36,M046,0.341667,grok-4-3
37,M023,0.341667,glm-4-6-coding
38,M022,0.338889,glm-4-6
39,M031,0.316667,gpt-5-1-codex
40,M026,0.300000,glm-5-1-coding
41,M040,0.225000,grok-3
42,M025,0.208929,glm-5-1
43,M059,0.120833,opus-4-6
44,M049,0.118750,kimi-k2-0905
45,M041,0.113889,grok-4
46,M083,0.108333,sonnet-4-6
47,M082,0.083333,sonnet-4-5
48,M078,0.083333,qwen3-coder-plus
49,M045,0.079167,grok-4-2
50,M060,0.075000,opus-4-7
51,M058,0.016667,opus-4-5
52,M056,0.008333,opus-4-0
53,M081,0.000000,sonnet-4-0
54,M057,0.000000,opus-4-1
