rank,blind_id,value,UNBLINDING_METADATA_model
1,M082,100.000000,sonnet-4-5
2,M081,100.000000,sonnet-4-0
3,M078,100.000000,qwen3-coder-plus
4,M060,100.000000,opus-4-7
5,M059,100.000000,opus-4-6
6,M058,100.000000,opus-4-5
7,M057,100.000000,opus-4-1
8,M056,100.000000,opus-4-0
9,M049,100.000000,kimi-k2-0905
10,M046,100.000000,grok-4-3
11,M045,100.000000,grok-4-2
12,M044,100.000000,grok-4-1-fast-reasoning
13,M043,100.000000,grok-4-1-fast-non-reasoning
14,M040,100.000000,grok-3
15,M038,100.000000,gpt-5-5-pro
16,M037,100.000000,gpt-5-5
17,M036,100.000000,gpt-5-4
18,M035,100.000000,gpt-5-3-codex
19,M034,100.000000,gpt-5-3
20,M032,100.000000,gpt-5-2
21,M030,100.000000,gpt-5-1
22,M028,100.000000,gpt-4o
23,M027,100.000000,gpt-4-1
24,M021,100.000000,glm-4-5
25,M013,100.000000,gemini-3-1-pro
26,M012,100.000000,gemini-3-1-flash-lite
27,M010,100.000000,gemini-2-5-flash-lite
28,M007,100.000000,gemini-2-0-flash-lite
29,M005,100.000000,gemini-2-0-flash
30,M003,100.000000,deepseek-v3-2
31,M002,100.000000,deepseek-chat
32,M004,99.583333,deepseek-v4-pro
33,M083,97.500000,sonnet-4-6
34,M050,97.500000,kimi-k2-5
35,M026,97.500000,glm-5-1-coding
36,M015,97.500000,gemini-3-5-flash
37,M009,97.500000,gemini-2-5-flash
38,M022,95.833333,glm-4-6
39,M052,95.000000,kimi-k2-thinking
40,M051,95.000000,kimi-k2-6
41,M047,95.000000,kimi-coding
42,M011,95.000000,gemini-2-5-pro
43,M025,94.464286,glm-5-1
44,M054,94.166667,minimax-m2-7
45,M055,90.000000,opus-3
46,M033,90.000000,gpt-5-2-codex
47,M031,90.000000,gpt-5-1-codex
48,M017,90.000000,gemma-4-26b-a4b
49,M016,90.000000,gemini-3-flash-preview
50,M024,87.954545,glm-4-7
51,M053,87.500000,minimax-m2
52,M039,87.500000,gpt-5-codex
53,M023,87.500000,glm-4-6-coding
54,M075,85.000000,qwen3-6-plus
55,M029,82.500000,gpt-5
56,M019,75.000000,gemma-4-31b
57,M041,72.500000,grok-4
